sector,name,url
Agriculture & Cooperation,"State Wetland Authority, Haryana",https://swa.haryana.gov.in/
Agriculture & Cooperation,Krishi Vigyan Kendra Knowledge Network,https://kvk.icar.gov.in/
Agriculture & Cooperation,Bihar State Election Authority (BSEA),https://bsea.bihar.gov.in/
Agriculture & Cooperation,"Direct Benefit Transfer (DBT), Agriculture Department, Bihar",https://dbtagriculture.bihar.gov.in/
Agriculture & Cooperation,National Centre for Integrated Pest Management (NCIPM),https://ncipm.icar.gov.in/
Agriculture & Cooperation,"Agricultural Technology Management Agency (ATMA) Directorate and SAMETI, Gujarat",https://atma.gujarat.gov.in/
Agriculture & Cooperation,Krishi DSS,https://krishi-dss.gov.in/
Agriculture & Cooperation,"Registrar of Co-operative Societies, Gujarat",https://rcs.gujarat.gov.in/
Agriculture & Cooperation,"Integrated Land Records Management System, Telangana",https://dharani.telangana.gov.in/
Agriculture & Cooperation,mKisan,https://www.mkisan.gov.in/
Agriculture & Cooperation,Agrinnovate India,
Agriculture & Cooperation,Kisan Sarathi,https://kisansarathi.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra (KVK), Sikkim",https://sikkim.gov.in/departments/food-security-and-agriculture-development-department/krishi-vigyan-kendra-in-sikkim
Agriculture & Cooperation,Directorate of Arecanut and Spices Development (DSAD),https://www.dasd.gov.in/
Agriculture & Cooperation,Kisan Suvidha,
Agriculture & Cooperation,"Directorate of Horticulture & Soil Conservation, Tripura",https://horti.tripura.gov.in/
Agriculture & Cooperation,"Tripura Farmers Portal & Kisan Call Center (KCC), Tripura",https://farmersportal.tripura.gov.in/
Agriculture & Cooperation,"Agricultural Marketing Department, Karnataka",https://krishimaratavahini.karnataka.gov.in/
Agriculture & Cooperation,Krishi Nivesh Portal,https://krishinivesh.gov.in/
Agriculture & Cooperation,"Himachal Pradesh Horticulture Produce Marketing and Processing Corporation Ltd. (HPMC), Himachal Pradesh",https://hpmc.in/
Agriculture & Cooperation,"Agriculture Info Management System, Kerala",https://www.aims.kerala.gov.in/
Agriculture & Cooperation,Rani Lakshmi Bai Central Agricultural University,https://www.rlbcau.ac.in/
Agriculture & Cooperation,Agri Stack Portal,https://agristack.gov.in/
Agriculture & Cooperation,Namo Drone Didi Portal,
Agriculture & Cooperation,"KVK Lawngtlai, Mizoram",https://kvklawngtlai.mizoram.gov.in/
Agriculture & Cooperation,Soil and Land Use Survey of India,https://slusi.da.gov.in/
Agriculture & Cooperation,"Central Farm Machinery Training and Testing Institute (FMTTI), Budni",https://fmttibudni.gov.in/
Agriculture & Cooperation,"Himachal Pradesh State Co-operative Marketing & Consumers Federation Ltd., Himachal Pradesh",https://www.himfed.com/
Agriculture & Cooperation,"ICAR Research Complex for Eastern Region (ICAR-RCER), Patna",https://icarrcer.icar.gov.in/
Agriculture & Cooperation,National Institute of Public Cooperation and Child Development (NIPCCD),https://nipccd.nic.in/
Agriculture & Cooperation,Directorate of Horticulture (Bhubaneswar),
Agriculture & Cooperation,ICAR-Indian Institute of Spices Research (IISR),
Agriculture & Cooperation,"The Registrar of Cooperative Societies, Odisha",https://rcsodisha.nic.in/
Agriculture & Cooperation,"Directorate of Onion and Garlic Research, Pune, Maharashtra",https://dogr.icar.gov.in/
Agriculture & Cooperation,"Agriculture Department, Ladakh",https://ladakh.nic.in/agriculture
Agriculture & Cooperation,"Krishi Vigyan Kendra (KVK), Wokha",https://kvkwokha.nic.in/
Agriculture & Cooperation,"Netaji Subhas Regional Institute of Cooperative Management (NSRICM), Kalyani",https://www.nsricm.com/
Agriculture & Cooperation,"ICAR-National Research Centre on Plant Biotechnology - Indian Agricultural Research Institute,, New Delhi",https://iims.icar.gov.in/Institute_Details.aspx?Inst=YLDo9jwOF0s=
Agriculture & Cooperation,ICAR-National Institue of Natural Fiber Engineering and Techinology,
Agriculture & Cooperation,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),https://pmksy.gov.in/
Agriculture & Cooperation,ICAR - National Institute of Agricultural Economics and Policy Research (NIAP),
Agriculture & Cooperation,"Punjab Remote Sensing Centre (PRSC), Ludhiana, Punjab",https://prsc.gov.in/
Agriculture & Cooperation,"AGRISNET - Directorate of Agriculture & Food Production, Odisha",https://agrisnetodisha.ori.nic.in/
Agriculture & Cooperation,"Nagaland State Extension Reforms (Niche ATMA), Nagaland",https://nser.nic.in/
Agriculture & Cooperation,National Bee Board (NBB),https://nbb.gov.in/
Agriculture & Cooperation,"e-Mausam Krishi Sewa, CCS Haryana Agricultural University, Hisar, Haryana",https://emausamhau.gov.in/
Agriculture & Cooperation,"Directorate of Horticulture, Chhattisgarh",https://cghorticulture.gov.in/
Agriculture & Cooperation,"Tamil Nadu Agricultural Weather Network (TAWN), Tamil Nadu",
Agriculture & Cooperation,"Govind Ballabh Pant University of Agriculture & Technology, Uttarakhand",https://gbpuat.ac.in/
Agriculture & Cooperation,National Co-operative Development Corporation (NCDC),https://www.ncdc.in/
Agriculture & Cooperation,National Food Security Mission,https://nfsm.gov.in/
Agriculture & Cooperation,Agri-Clinics and Agri-Business Centres,https://acabcmis.gov.in/
Agriculture & Cooperation,"Horticulture Department, Jammu and Kashmir",https://horticulture.jk.gov.in/
Agriculture & Cooperation,"Crop Pests & Diseases Surveillance and Advisory Portal (CROPSAP), Meghalaya",https://cropsap.megfarmer.gov.in/
Agriculture & Cooperation,"Directorate of Rice Development, Patna",https://drdpat.bih.nic.in/
Agriculture & Cooperation,"Directorate of Agriculture (Research and Education), Mizoram",https://agriculture.mizoram.gov.in/
Agriculture & Cooperation,Southern Region Farm Machinery Training and Testing Institute,https://srfmtti.dacnet.nic.in/
Agriculture & Cooperation,"eMaaptaul, Bihar",https://wemmis.bih.nic.in/app
Agriculture & Cooperation,"Mahalanobis National Crop Forecast Centre (NCFC), New Delhi",https://ncfc.gov.in/
Agriculture & Cooperation,"Krishi Vigyan Kendra, Ri-Bhoi",https://kvkribhoi.nic.in/
Agriculture & Cooperation,"Institute of Cooperative Management, Madurai",
Agriculture & Cooperation,"Sericulture Department, Manipur",https://serimanipur.nic.in/
Agriculture & Cooperation,"Agriculture Department, Andhra Pradesh",https://www.apagrisnet.gov.in/
Agriculture & Cooperation,"Haryana Seed Portal, Haryana",https://uttambeej.haryana.gov.in/
Agriculture & Cooperation,Indian Council of Agricultural Research - Online Library Catalog,
Agriculture & Cooperation,"Irrigation and Flood Control Department, Delhi",https://ifc.delhi.gov.in/
Agriculture & Cooperation,"Minister for Agriculture, Kerala",
Agriculture & Cooperation,"North Eastern Regional Agricultural Marketing Corporation Ltd (NERAMAC), Guwahati",https://neramac.com/
Agriculture & Cooperation,"ICAR-Indian Institute of Water Management, Bhubaneswar, Odisha",https://iiwm.icar.gov.in/
Agriculture & Cooperation,"Agriculture Department, West Bengal",
Agriculture & Cooperation,"Agricultural Scientists Recruitment Board (ASRB), New Delhi",https://asrb.org.in/
Agriculture & Cooperation,"National Bureau of Agriculturally Important Microorganisms (NBAIM), Bhanjan, Uttar Pradesh",https://nbaim.icar.gov.in/
Agriculture & Cooperation,"Odisha Agro Industries Corporation Limited, Odisha",https://odishaagro.nic.in/
Agriculture & Cooperation,National Agricultural Innovation Project,https://naip.icar.gov.in/
